Spotify PT;8 Hour Sleep Music;Podcast;NULL;NULL;342;NULL;8 Hour Sleep Music;NULL;Livre;NULL
Spotify PT;Two Hot Takes;Podcast;NULL;NULL;227;NULL;Two Hot Takes;NULL;18+;NULL
Spotify PT;K;Podcast;NULL;NULL;1;NULL;222_k;NULL;Livre;NULL
Spotify PT;The Bald and the Beautiful with Trixie and Katya;Podcast;NULL;NULL;220;NULL;Studio71;NULL;18+;NULL
Spotify PT;The Ezra Klein Show;Podcast;NULL;NULL;423;NULL;New York Times Opinion;NULL;18+;NULL
Spotify PT;My Favorite Murder with Karen Kilgariff and Georgia Hardstark;Podcast;NULL;NULL;1008;NULL;Exactly Right and iHeartPodcasts;NULL;18+;NULL
Spotify PT;kfspring's factory .ᐟ;Podcast;NULL;NULL;165;NULL;@kfsprings;NULL;18+;NULL
Spotify PT;Serial Killers;Podcast;NULL;NULL;562;NULL;Spotify PT Studios;NULL;Livre;NULL
Spotify PT;K老师的山鸡村;Podcast;NULL;NULL;30;NULL;K老师的山鸡村;NULL;Livre;NULL
Spotify PT;Khloé in Wonder Land;Podcast;NULL;NULL;20;NULL;Khloé Kardashian;NULL;Livre;NULL
Spotify PT;Kaulitz Hills - Senf aus Hollywood ;Podcast;NULL;NULL;192;NULL;Spotify PT & Bill und Tom Kaulitz ;NULL;18+;NULL
Spotify PT;Katherine Ryan: Telling Everybody Everything;Podcast;NULL;NULL;258;NULL;kathbum;NULL;18+;NULL
Spotify PT;Greeking Out from National Geographic Kids;Podcast;NULL;NULL;90;NULL;National Geographic Kids;NULL;Livre;NULL
Spotify PT;The 40k Lorecast;Podcast;NULL;NULL;90;NULL;Warhammmer 40k;NULL;Livre;NULL
Spotify PT;True Crime with Kendall Rae;Podcast;NULL;NULL;240;NULL;Mile Higher Media & Audioboom Studios;NULL;18+;NULL
Spotify PT;LOL Storytime - Stories for Kids;Podcast;NULL;NULL;105;NULL;Funny Stories for Kids;NULL;Livre;NULL
Spotify PT;Programa Cujo Nome Estamos Legalmente Impedidos de Dizer;Podcast;NULL;NULL;388;NULL;SIC Notícias;NULL;Livre;NULL
Spotify PT;Contas-Poupança;Podcast;NULL;NULL;378;NULL;Pedro Andersson;NULL;Livre;NULL
