Plataforma;Título;Tipo de Conteúdo;Ano de Lançamento;Nº Temporadas/Filmes na Saga;Nº de Episódios;Género;Produtor/Artista;Classificação IMDb;Classificação Etária (PEGI);Duração (minutos)
Crunchyroll;Dagashi Kashi 2;TV_SHORT;2018;NULL;12.0;ANIME;NULL;NULL;Livre;13.0
Crunchyroll;Shakugan no Shana: Season III;TV;2011;NULL;24.0;ANIME;NULL;NULL;Livre;23.0
Crunchyroll;Skip Beat!;TV;2008;NULL;25.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;"The Most Notorious ""Talker"" Runs the World's Greatest Clan";ONA;2024;NULL;12.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;The Perfect Insider;TV;2015;NULL;11.0;ANIME;NULL;7.8;12+;24.0
Crunchyroll;Mobile Suit Gundam;TV;1979;NULL;43.0;ANIME;NULL;NULL;Livre;25.0
Crunchyroll;Spice and Wolf II: Wolf and the Amber Melancholy;OVA;2009;NULL;1.0;ANIME;NULL;NULL;Livre;22.0
Crunchyroll;My Tiny Senpai;TV;2023;NULL;12.0;ANIME;NULL;NULL;Livre;23.0
Crunchyroll;Hakata Tonkotsu Ramens;TV;2018;NULL;12.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;World Trigger 2nd Season;TV;2021;NULL;12.0;ANIME;NULL;NULL;Livre;23.0
Crunchyroll;My Hero Academia: Vigilantes;TV;2025;NULL;13.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;Princess Connect! Re:Dive Season 2;TV;2022;NULL;12.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;Arte;TV;2020;NULL;12.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;DAKAICHI -I'm being harassed by the sexiest man of the year-;TV;2018;NULL;13.0;ANIME;NULL;NULL;Livre;25.0
Crunchyroll;ORESUKI: Are you the only one who loves me?: Our Playball / Our End Run / Our Game;OVA;2020;NULL;1.0;ANIME;NULL;NULL;Livre;70.0
Crunchyroll;Omamori Himari;TV;2010;NULL;12.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;Backflip!!;TV;2021;NULL;12.0;ANIME;NULL;NULL;Livre;23.0
Crunchyroll;Mr. Osomatsu;TV;2015;NULL;25.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;GJ Club;TV;2013;NULL;12.0;ANIME;NULL;NULL;Livre;23.0
Crunchyroll;GANBARE DOUKICHAN;ONA;2021;NULL;12.0;ANIME;NULL;NULL;Livre;6.0
Crunchyroll;"Robotics;Notes";TV;2012;NULL;22.0;ANIME;NULL;NULL;Livre;23.0
Crunchyroll;Nyaruko-san: Another Crawling Chaos W;TV;2013;NULL;12.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;Tales of Wedding Rings;TV;2024;NULL;12.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;Sabagebu! - Survival Game Club!;TV;2014;NULL;12.0;ANIME;NULL;NULL;Livre;23.0
Crunchyroll;OneRoom;TV_SHORT;2017;NULL;12.0;ANIME;NULL;NULL;Livre;4.0
Crunchyroll;RWBY: Ice Queendom;TV;2022;NULL;12.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;Hayate the Combat Butler;TV;2007;NULL;52.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;ItaKiss;TV;2008;NULL;25.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;The Faraway Paladin: The Lord of Rust Mountains;TV;2023;NULL;12.0;ANIME;NULL;8.6;16+;24.0
Crunchyroll;True Tears;TV;2008;NULL;13.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;Bludgeoning Angel Dokuro-chan;OVA;2005;NULL;4.0;ANIME;NULL;NULL;Livre;25.0
Crunchyroll;Mobile Suit Gundam 00;TV;2007;NULL;25.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;Love Live! The School Idol Movie;MOVIE;2015;NULL;1.0;ANIME;NULL;NULL;Livre;102.0
Crunchyroll;The Great Cleric;ONA;2023;NULL;12.0;ANIME;NULL;8.6;16+;24.0
Crunchyroll;Dead Mount Death Play Part 2;TV;2023;NULL;12.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;Gonna be the Twin-Tail!!;TV;2014;NULL;12.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;The Weakest Tamer Began a Journey to Pick Up Trash;TV;2024;NULL;12.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;Listen to Me, Girls. I Am Your Father!;TV;2012;NULL;12.0;ANIME;NULL;NULL;Livre;23.0
Crunchyroll;Full Metal Panic! The Second Raid;TV;2005;NULL;13.0;ANIME;NULL;NULL;Livre;24.0
Crunchyroll;Possibly the Greatest Alchemist of All Time;TV;2025;NULL;12.0;ANIME;NULL;NULL;Livre;23.0
Crunchyroll;Sing a Bit of Harmony;MOVIE;2021;NULL;1.0;ANIME;NULL;NULL;Livre;109.0
Crunchyroll;Mobile Suit Gundam: The Witch from Mercury Season 2;TV;2023;NULL;12.0;ANIME;NULL;NULL;Livre;24.0
